Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 6 GB, NVIDIA GeForce GTX 980 , Intel Core i5-6600 , 30 GB, Windows 10,Hogwarts Legacy System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-2500K , 70 GB, Windows 10 64-bit,God of War System Requirements
 8 GB, NVIDIA GeForce GTX 970  or Radeon RX 470, Intel Core i5-3570K  or FX-8310, 70 GB, Windows 10 64-Bit,Cyberpunk 2077 System Requirements
 4 GB, Intel HD 4000  or Radeon HD 7870, Intel Core i3-3225 , 15 GB, Windows 7/8/10 64-bit,Fortnite System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo E8400  or Athlon 200GE, 23 GB, Windows 7 64-bit,Valorant System Requirements
 8 GB, AMD Radeon R9 280 , AMD FX-6300 , 150 GB, Windows 7 64-Bit,Red Dead Redemption 2 System Requirements
 4 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Quad Q9705 , 3 GB, Windows 7 64-bit,Choo-Choo Charles System Requirements
 6 GB, NVIDIA GeForce GT 640  or Radeon HD 7730, Intel Core i3-6300  or FX-4350, 22 GB, Windows 7 64-bit,Apex Legends System Requirements
8 GB,AMD Radeon R9 280,Intel Core i7-3770,10 GB,Requires a 64-bit processor and operating system,Rust System Requirements
 4 GB, NVIDIA GeForce GTX 1050 , Intel Celeron G4900 , 64 GB, Windows 10,Windows 11 System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i3-4160 , 75 GB, Windows 10 64-bit,Marvel’s Spider-Man Remastered System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-8600 , 50 GB, Windows 10 64-bit,Need for Speed Unbound System Requirements
 8 GB, AMD Radeon RX 560 , Intel Core i5-3470 , 80 GB, Windows 10,Death Stranding System Requirements
 4 GB, AMD GeForce 9600M GT , AMD Athlon 64 FX-34 , 7 GB, Windows 7,Football Manager 2023 System Requirements
 2 GB, NVIDIA GeForce 8600 GT , Intel Core 2 Duo E6600 , 16 GB, Windows XP,Call of Duty Modern Warfare 3 System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 310 MB, Windows 7/8/8.1/10,Xenia System Requirements
 8 GB, AMD Radeon HD 6850 , Intel Core i3-2340UE , 50 GB, Windows 10 (64-bit only),Lost Ark System Requirements
 8 GB, NVIDIA GeForce GTX 460 , Intel Core i3-4170 , 25 GB," 64-bit Operating Systems (Windows 7, Windows 8.1)",Dead by Daylight System Requirements
 4 GB, ATI Radeon HD 5850 , Intel Core i5-750 , 30 GB, Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),Far Cry 4 System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i3-3225 , 90 GB, Windows 7 64-Bit,Call of Duty WW2 System Requirements
6 GB,AMD Radeon HD 5450,Intel Core 2 Duo E8400,4 GB,Ubuntu 12.04,7 Days to Die System Requirements
 8 GB, NVIDIA GeForce GTX 660 , AMD Phenom II X4 965 , 50 GB, Windows 7,FIFA 20 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-9600K , 80 GB, Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004),F1® 22 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-4590 , 14 GB, Windows 10 64bit (min version 1809),Jurassic World Evolution 2 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-8600K  or Ryzen 5 2600X, 1 GB, Microsoft Windows 10,Dead Space System Requirements
 4 GB, AMD Radeon HD 7870 , Intel Core i5-3470 , 40 GB, Windows 7 SP1/8.1/10 - 64bit,eFootball  PES 2020 System Requirements
 4 GB, AMD Radeon Pro 450 , Intel Core i3-530 , 10 GB," Windows7SP1, Windows8.1, Windows10",Lost Light System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-3550 , 60 GB, Windows 10 64-bit,WWE 2K22 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,DCS World Steam Edition System Requirements
